GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Speed (GPS)(km/h),Altitude (GPS)(m),Acceleration Sensor(Total)(g),Acceleration Sensor(Z axis)(g),Engine Load(%),Engine Coolant Temperature(°C),Fuel pressure(kPa),Intake Manifold Pressure(kPa),Engine RPM(rpm),Speed (OBD)(km/h),Mass Air Flow Rate(g/s),Intake Air Temperature(°C),Timing Advance(°),Throttle Position(%),Fuel Level(%),Voltage(V),Miles Per Gallon (diesel support in pro version)(mpg),Turbo Boost Gauge (full support in pro version)(psi),Miles Per Gallon(Average) (diesel support in pro version)(mpg),Kilometers Per Litre(kpl),Kilometers Per Litre(Average)(kpl),Trip Distance(km),Trip average MPG(mpg),Trip average KPL(kpl),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Ambient air temp(°C),Barometric pressure(kPa),Litres Per 100 Kilometer(l/100km),Litres Per 100 Kilometer(Average)(l/100km)
Sat Mar 07 08:08:25 MEZ 2015,07-Mär.-2015 08:08:24.040,6.09665558,50.77789006,3.75,4.0,214.0,167.9,0.108936176,-9.285313,3.9875429,0.049163997,13.5,214.0,0.049163997173309326,0.3064773380756378,68.62744903564453,20.0,-,102.0,1017.0,16.0,19.299999237060547,14.0,-,77.2549057006836,-,14.859999656677246,5.892091274261475,0.09384918212890625,3.0036513805389404,2.5049636363983154,1.2769722938537598,0.04624859243631363,-,-,0.011104604229331017,-0.9465150237083435,5.0,101.0,39.92039108276367,78.3095474243164
Sat Mar 07 08:08:26 MEZ 2015,07-Mär.-2015 08:08:25.056,6.09667777,50.77784819,4.0,4.0,215.0,165.7,0.078410104,-8.953117,4.148553,0.024899542,14.399999618530273,215.0,0.024899542331695557,0.32289019227027893,74.11764526367188,20.0,-,105.0,1323.0,20.0,18.15999984741211,11.0,-,83.52941131591797,-,14.859999656677246,7.827461242675781,0.5289630889892578,3.3921127319335938,3.3277668952941895,1.4421228170394897,0.05116230249404907,-,-,0.007992874830961227,-0.9126520752906799,5.0,101.0,30.04991912841797,69.34162139892578
Sat Mar 07 08:08:27 MEZ 2015,07-Mär.-2015 08:08:26.041,6.09669323,50.77780687,4.25,4.0,214.0,167.5,-0.06404489,-8.796297,4.179079,0.011739016,15.299999237060547,214.0,0.056558430194854736,0.3416215777397156,60.39215850830078,20.0,-,107.0,1452.0,22.0,18.40999984741211,12.0,-,83.52941131591797,-,14.859999656677246,8.493284225463867,0.8190383911132813,3.784510612487793,3.610834836959839,1.6089468002319336,0.05588647350668907,-,-,0.010067361406981945,-0.9388272166252136,5.0,101.0,27.694185256958008,62.15191650390625
Sat Mar 07 08:08:28 MEZ 2015,07-Mär.-2015 08:08:27.056,6.09670996,50.7777322,5.75,5.0,212.0,170.0,0.035314474,-8.907627,4.4544125,0.034225285,20.69999885559082,212.0,0.034225285053253174,0.3540685474872589,54.509803771972656,20.0,-,110.0,1645.0,24.0,18.8799991607666,12.0,-,83.52941131591797,-,14.859999656677246,9.034748077392578,1.2541513442993164,4.159527778625488,3.8410327434539795,1.7683815956115723,0.06427645683288574,-,-,0.0035998444072902203,-0.9080149531364441,5.0,101.0,26.03443717956543,56.54838562011719
Sat Mar 07 08:08:29 MEZ 2015,07-Mär.-2015 08:08:28.039,6.09675251,50.77766661,6.75,4.0,212.0,164.2,0.089782566,-8.89446,4.4538136,0.033032477,24.299999237060547,212.0,0.03303247690200806,0.3540074825286865,39.607845306396484,20.0,-,109.0,1695.0,26.0,16.8799991607666,12.0,-,83.52941131591797,-,14.859999656677246,10.947319030761719,1.1091136932373047,4.533438682556152,4.654143333435059,1.927346110343933,0.07216605544090271,-,-,0.009152146987617016,-0.9066727161407471,5.0,101.0,21.48604393005371,51.88436508178711
Sat Mar 07 08:08:30 MEZ 2015,07-Mär.-2015 08:08:29.044,6.09679228,50.77760347,7.25,4.0,213.0,163.1,0.17118542,-8.26239,4.6501384,-0.014371574,26.099998474121094,213.0,0.022883832454681396,0.4112389385700226,20.0,20.0,-,108.0,1696.0,26.0,13.270000457763672,11.0,-,83.52941131591797,-,14.899999618530273,13.92544937133789,0.964076042175293,5.120439529418945,5.9202656745910645,2.17690372467041,0.07972940802574158,-,-,0.017389079555869102,-0.8637796640396118,5.0,101.0,16.890987396240234,45.936405181884766
Sat Mar 07 08:08:31 MEZ 2015,07-Mär.-2015 08:08:30.078,6.0968057,50.7775455,7.0,4.0,214.0,168.5,0.016759412,-8.075044,5.203199,-0.0017704368,25.19999885559082,214.0,0.031688392162323,0.43009236454963684,3.9215686321258545,21.0,-,102.0,1596.0,24.0,11.739999771118164,9.0,-,83.52941131591797,-,14.859999656677246,14.529474258422852,0.09384918212890625,5.673912048339844,6.177060604095459,2.4122068881988525,0.08624731749296188,-,-,0.029103824868798256,-0.8623762726783752,5.0,101.0,16.18878746032715,41.45545196533203
Sat Mar 07 08:08:32 MEZ 2015,07-Mär.-2015 08:08:31.036,6.09683903,50.77748096,6.75,4.0,213.0,164.3,0.15741876,-8.389881,5.2397103,0.027450383,24.299999237060547,213.0,0.027450382709503174,0.4341192841529846,0.0,21.0,-,101.0,1490.0,23.0,11.15999984741211,9.0,-,83.52941131591797,-,14.859999656677246,14.647733688354492,-0.05118846893310547,6.172457695007324,6.22733736038208,2.6241586208343506,0.0938020795583725,-,-,0.016046764329075813,-0.855237603187561,5.0,101.0,16.058086395263672,38.107120513916016
Sat Mar 07 08:08:33 MEZ 2015,07-Mär.-2015 08:08:32.037,6.09686332,50.77743017,6.0,4.0,213.0,166.0,-0.21906945,-8.243835,5.1960163,0.0125956535,21.599998474121094,213.0,0.012595653533935547,0.4296652674674988,0.0,21.0,-,100.0,1314.5,20.0,10.359999656677246,8.0,-,83.52941131591797,-,14.859999656677246,14.406760215759277,-0.1962261199951172,6.172457695007324,6.124889850616455,2.6241586208343506,0.09970620274543762,-,-,-0.02233123779296875,-0.8403501510620117,5.0,101.0,16.32668113708496,38.107120513916016
Sat Mar 07 08:08:34 MEZ 2015,07-Mär.-2015 08:08:33.050,6.09687613,50.77739389,5.5,4.0,210.0,163.9,0.009576807,-8.093599,5.191228,-8.403063E-4,19.799999237060547,210.0,-8.40306282043457E-4,0.4291771352291107,0.0,21.0,-,100.0,1217.0,18.0,8.9399995803833,6.0,-,83.52941131591797,-,14.859999656677246,14.310070991516113,-0.1962261199951172,7.001922607421875,6.0837836265563965,2.976797342300415,0.10384203493595123,-,-,9.762289701029658E-4,-0.825035572052002,5.0,101.0,16.436996459960938,33.592857360839844
